run,classname,last,count,delta,lenmean,lensd,lenmax
1,Float,54245,128370,74125,,,
1,String,46287,46268,-19,27.592721,50.086176,2308.000000
1,Array,2410,2433,23,7.924784,41.835111,558.000000
1,Regexp,979,1011,32,,,
1,Class,914,985,71,,,
1,Proc,378,416,38,,,
1,Module,369,393,24,,,
1,Hash,353,365,12,12.846575,51.496703,521.000000
1,Range,149,153,4,,,
1,Time,111,141,30,,,
1,Mongrel::Stats,11,39,28,,,
1,Set,15,16,1,75.312500,173.174178,521.000000
1,YAML::Syck::Scalar,0,12,12,,,
2,Float,128370,275843,147473,,,
2,String,46268,56806,10538,25.082650,49.059478,2308.000000
2,Array,2433,4486,2053,8.156264,39.422773,558.000000
2,Regexp,1011,1123,112,,,
2,Class,985,987,2,,,
2,Hash,365,537,172,14.350093,51.951904,521.000000
2,Proc,416,487,71,,,
2,Module,393,404,11,,,
2,MatchData,4,278,274,2.104317,1.111110,4.000000
2,Time,141,187,46,,,
2,Range,153,173,20,,,
2,YAML::Syck::Scalar,12,68,56,,,
2,Mongrel::Stats,39,62,23,,,
2,Set,16,20,4,72.300000,160.350636,521.000000
2,File,8,17,9,,,
2,ActiveSupport::Callbacks::CallbackChain,10,14,4,0.357143,0.744946,2.000000
2,HashWithIndifferentAccess,5,12,7,1.166667,1.029857,2.000000
2,StringIO,7,11,4,363.909091,529.016721,1380.000000
3,Float,275843,89505,-186338,,,
3,String,56806,46202,-10604,27.699732,50.774090,2308.000000
3,Array,4486,2430,-2056,7.916872,41.870928,558.000000
3,Regexp,1123,1010,-113,,,
3,Class,987,989,2,,,
3,Proc,487,416,-71,,,
3,Module,404,402,-2,,,
3,Hash,537,333,-204,14.075075,54.300068,521.000000
3,Range,173,153,-20,,,
3,Time,187,127,-60,,,
3,Mongrel::Stats,62,25,-37,,,
3,Set,20,17,-3,71.176471,168.541996,521.000000
3,YAML::Syck::Scalar,68,12,-56,,,
